City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Boa Vista,BR,78.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
1,Hermanus,ZA,52.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Vao,NC,73.45,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
3,Kirakira,SB,83.05,overcast clouds,-10.4544,161.9205,SanBiz Lodge
4,Oktyabrskoye,RU,57.34,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
6,Hobart,AU,58.05,moderate rain,-42.8794,147.3294,Mantra on Collins Hobart
7,Wenling,CN,80.91,light rain,28.3669,121.36,Hanting Express Wenling Wanchang North Road
8,Ribeira Grande,PT,63.72,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
9,Deming,US,80.49,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
10,Chuy,UY,62.91,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
12,Yellowknife,CA,55.92,broken clouds,62.456,-114.3525,The Explorer Hotel
14,Rikitea,PF,74.73,scattered clouds,-23.1203,-134.9692,Pension Maro'i
15,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
16,Ugoofaaru,MV,83.08,overcast clouds,5.6667,73.0,Ungoofaaru Inn
17,Te Anau,NZ,52.54,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
18,Arraial Do Cabo,BR,72.55,clear sky,-22.9661,-42.0278,Pousada Porto Praia
20,Grand-Lahou,CI,78.87,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
21,Znamenka,RU,55.54,light rain,52.4167,41.4311,Gostinitsa Yeseninskaya
22,San Cristobal,VE,66.76,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
24,Atuona,PF,79.41,scattered clouds,-9.8,-139.0333,Villa Enata
25,Oktyabrskiy,RU,58.51,light rain,54.4815,53.471000000000004,Уязы-Тау гостиница
27,Bambous Virieux,MU,74.21,light rain,-20.3428,57.7575,Casa Tia Villa
28,Faanui,PF,80.96,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Cherskiy,RU,71.51,overcast clouds,68.75,161.3,Gostinitsa
33,Port Alfred,ZA,54.77,clear sky,-33.5906,26.891,The Halyards Hotel
34,Meulaboh,ID,78.49,overcast clouds,4.1363,96.1285,Kost Pria
35,Bay City,US,79.36,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
42,Victoria,HK,83.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
45,Norman Wells,CA,59.04,broken clouds,65.282,-126.8329,Heritage Hotel
46,Hithadhoo,MV,82.53,moderate rain,-0.6,73.0833,Scoop Guest House
48,Castro,BR,55.94,clear sky,-24.7911,-50.0119,CHACARA BAILLY
49,Maloy,NO,57.06,overcast clouds,61.9353,5.1136,Torget Hotell
50,Batemans Bay,AU,61.92,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
51,Santa Cruz,BO,71.06,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
55,Avarua,CK,78.85,light intensity drizzle,-21.2078,-159.775,Paradise Inn
56,Alta Gracia,AR,63.88,overcast clouds,-31.6529,-64.4283,Hotel Ritz
57,Coahuayana,MX,79.52,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
59,Blind River,CA,61.05,few clouds,46.1834,-82.9582,Auberge Eldo Inn
61,Tefe,BR,75.16,light rain,-3.3542,-64.7114,Aracati Hotel
63,Almeirim,BR,73.06,few clouds,-1.5233,-52.5817,Ricácio Hotel
67,Mahebourg,MU,74.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
69,Kamenka,RU,52.54,overcast clouds,51.3223,42.7678,
70,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Punto de encuentro
71,Milkovo,RU,53.49,light rain,54.7167,158.6167,"Hotel ""Geologist"""
73,Bredasdorp,ZA,52.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
74,Inirida,CO,74.05,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
75,Cape Town,ZA,53.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
79,Ambilobe,MG,70.43,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
80,Timra,SE,51.67,few clouds,62.486999999999995,17.3257,Bergefors park
81,Chokurdakh,RU,78.94,overcast clouds,70.6333,147.9167,
82,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
85,Springdale,US,71.08,clear sky,36.1867,-94.1288,Springdale Inn
86,La Ronge,CA,70.02,broken clouds,55.1001,-105.2842,Northland Motor Hotel
88,Aksarka,RU,53.11,overcast clouds,66.5606,67.7975,
90,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Hotel Central
91,Port-Gentil,GA,78.91,broken clouds,-0.7193,8.7815,Fengshui Residence
92,Kavieng,PG,84.38,broken clouds,-2.5744,150.7967,Nusa Island Retreat
93,Faya,SA,64.51,clear sky,18.3851,42.4509,مقبرة ال مجمل
94,Balsas,BR,76.6,broken clouds,-7.5325,-46.0356,Novo Hotel
95,Houma,US,78.8,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
96,Mar Del Plata,AR,55.87,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
97,Lewisporte,CA,60.55,broken clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
98,Aleksandrov Gay,RU,62.78,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
99,Saint-Philippe,RE,71.47,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
100,Sept-Iles,CA,58.05,few clouds,50.2001,-66.3821,Comfort Inn
101,Xinyu,CN,83.05,clear sky,27.8043,114.9334,Xinyu Beihu Hotel
102,Cockburn Town,TC,79.74,clear sky,21.4612,-71.1419,Osprey Beach Hotel
103,Kamloops,CA,70.83,broken clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
104,Isangel,VU,84.31,few clouds,-19.55,169.2667,Tanna Lodge
105,Herat,AF,82.99,clear sky,34.5,62.0,
106,Xuddur,SO,71.17,clear sky,4.1213,43.8894,Banjanay Hotel
107,Ilam,NP,80.06,clear sky,26.9167,87.9167,चियाबारी कटेज
109,Maragogi,BR,74.14,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
111,Fukue,JP,70.16,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
112,Skibbereen,IE,55.2,overcast clouds,51.55,-9.2667,The West Cork Hotel
113,Nanchang,CN,80.47,broken clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
114,Bara,NG,77.22,overcast clouds,10.3744,10.7288,
115,Busselton,AU,66.04,overcast clouds,-33.65,115.3333,Observatory Guest House
116,Hit,IQ,84.85,clear sky,33.6416,42.8251,صالون زيرو
117,Albany,US,66.45,clear sky,42.6001,-73.9662,
119,Esperance,AU,64.24,scattered clouds,-33.8667,121.9,Hospitality Esperance
120,Jalu,LY,72.28,clear sky,29.0331,21.5482,صاحبة الفخامة
121,New Norfolk,AU,57.7,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
124,Vangaindrano,MG,66.0,few clouds,-23.35,47.6,Hotel Fanilo
125,Ypsilanti,US,78.73,clear sky,42.2412,-83.613,Ann Arbor Marriott Ypsilanti at Eagle Crest
126,Camopi,GF,71.49,broken clouds,3.1655,-52.3158,
127,Erlangen,DE,60.58,clear sky,49.5897,11.0039,Creativhotel Luise
128,Athabasca,CA,58.82,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
130,Midland,US,73.69,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
133,Nikolskoye,RU,55.29,few clouds,59.7035,30.7861,Tourist House - Sablino
134,Koumac,NC,77.05,broken clouds,-20.5667,164.2833,Le Monitel
135,Jamestown,US,71.19,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
136,Codrington,AU,57.94,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
137,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
138,East London,ZA,50.94,clear sky,-33.0153,27.9116,Tu Casa
139,Libreville,GA,80.62,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
140,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
141,Ziniare,BF,84.24,broken clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
142,Tucuman,AR,60.8,clear sky,-26.8241,-65.2226,HOTEL MIAMI
144,Airai,TL,72.5,broken clouds,-8.9266,125.4092,Juvinal Martin
145,Eyl,SO,80.2,few clouds,7.9803,49.8164,Amiin Hotel
146,Vorsma,RU,61.47,clear sky,55.9856,43.2717,House by the river
147,Puerto Ayora,EC,72.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
148,Soe,ID,80.83,broken clouds,-9.8607,124.28399999999999,Dena Hotel
149,Mount Gambier,AU,53.51,moderate rain,-37.8333,140.7667,Commodore on the Park
150,Mumford,GH,78.42,broken clouds,5.2618,-0.759,Spanish Villa
153,Cascais,PT,60.48,scattered clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
154,Ileza,RU,66.92,scattered clouds,61.0533,43.9002,
155,Barcelos,PT,56.84,clear sky,41.5388,-8.6151,Hotel Do Terço
156,Kijang,KR,78.53,overcast clouds,35.2442,129.2139,Samyang Beach Villa
157,Hualmay,PE,63.05,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
158,Sinnamary,GF,77.16,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
159,Luangwa,ZM,63.59,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
160,Caraz,PE,61.38,overcast clouds,-9.0486,-77.81,Hostal La Alameda
161,Harrisburg,US,71.74,clear sky,40.2737,-76.8844,Hilton Harrisburg
163,Touros,BR,72.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
164,Victoria Point,AU,73.18,clear sky,-27.5833,153.3,Bay Retreat Motel
165,Tarauaca,BR,72.93,overcast clouds,-8.1614,-70.7656,Flat Temporada
166,Verkhnyaya Inta,RU,55.76,overcast clouds,65.9811,60.3094,
167,Mananjary,MG,68.11,few clouds,-21.2167,48.3333,Vahiny Lodge
168,Guerrero Negro,MX,63.61,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
169,Margate,GB,56.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
170,Usinsk,RU,55.18,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
171,Fairbanks,US,68.0,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
172,Karratha,AU,77.58,clear sky,-20.7377,116.8463,ibis Styles Karratha
173,Bethel,US,66.81,mist,41.3712,-73.414,Courtyard by Marriott Danbury
174,Luderitz,NA,66.88,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
175,Sibut,CF,69.4,light rain,5.718,19.0739,
179,Clive,US,78.01,clear sky,41.603,-93.7241,Valley West Inn
180,Hervey Bay,AU,70.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
181,Deputatskiy,RU,77.18,overcast clouds,69.3,139.9,Baza Otdykha
184,Chute-Aux-Outardes,CA,66.51,scattered clouds,49.1168,-68.399,Camp St-Paul Gite Plein-Air
186,Tevriz,RU,60.58,clear sky,57.50899999999999,72.4042,Postoyalyy Dvor
187,Nemuro,JP,75.63,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
188,Butaritari,KI,83.12,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
191,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
192,Erzin,TR,68.72,clear sky,36.9559,36.2,Artemis Otel
193,Kendari,ID,80.67,overcast clouds,-3.945,122.4989,Hotel Wixel
194,Cleveland,US,75.96,scattered clouds,41.4995,-81.6954,Renaissance Cleveland Hotel
195,Vila Do Maio,CV,75.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
196,Lagoa,PT,62.33,broken clouds,39.05,-27.9833,Casa Das Faias
197,Westport,US,67.98,clear sky,41.1415,-73.3579,The Westport Inn
200,Raton,US,66.54,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
201,Pundaguitan,PH,82.56,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
202,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
206,Mujiayingzi,CN,73.72,broken clouds,42.1167,118.7833,Jinjiang Hotel
207,Geraldton,AU,69.13,clear sky,-28.7667,114.6,Broadwater Mariner Resort
210,Kasongo-Lunda,CD,65.73,scattered clouds,-6.4667,16.8167,
211,Surany,SK,59.95,clear sky,48.0861,18.1845,Tyche
213,Nuevo Progreso,MX,78.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
214,Chapeco,BR,57.78,clear sky,-27.0964,-52.6183,Golden Hotel
216,Carnarvon,AU,73.47,few clouds,-24.8667,113.6333,Hospitality Carnarvon
217,Sobolevo,RU,56.43,scattered clouds,54.4299,31.8996,
218,Moron,AR,62.29,overcast clouds,-34.6534,-58.6198,Hotel Morón
219,Saint Peter,BB,79.36,overcast clouds,13.25,-59.6167,Legend Garden Condos
220,Mezen,RU,69.03,clear sky,65.8522,44.24,
221,Ahipara,NZ,59.97,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
223,Kudahuvadhoo,MV,83.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
224,Monterey,US,52.09,clear sky,36.2505,-121.2516,
225,Kenai,US,63.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
226,Southbridge,US,66.09,clear sky,42.0751,-72.0334,Southbridge Hotel & Conference Center
227,Jumla,NP,69.82,few clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
228,Banganapalle,IN,80.6,overcast clouds,15.3167,78.2333,Careerfinder4you
229,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
230,Wajir,KE,73.33,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
231,Souillac,MU,74.35,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
233,Haines Junction,CA,60.75,overcast clouds,60.7522,-137.5108,Parkside Inn
234,Mandalgovi,MN,74.84,broken clouds,45.7625,106.2708,В.Ганбат
235,Blairmore,CA,68.92,few clouds,49.6,-114.4353,Highwood Motel
237,Bani Walid,LY,61.86,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
239,Mayumba,GA,75.25,broken clouds,-3.432,10.6554,LIKWALE LODGE
241,Yulara,AU,64.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
242,Mae Hong Son,TH,80.74,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
244,Natchez,US,73.62,moderate rain,31.5604,-91.4032,Hampton Inn & Suites Natchez
245,Fortuna,US,58.66,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
246,Rorvik,NO,53.53,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
247,College,US,69.46,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
248,Albury,AU,53.02,broken clouds,-36.0833,146.9167,Albury Georgian Motel & Suites
249,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
250,Komono,JP,81.25,moderate rain,35.0,136.5167,Aqua Ignis
251,Ilulissat,GL,50.02,scattered clouds,69.2167,-51.1,Hotel Arctic
253,Owando,CG,71.98,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
254,Vallenar,CL,56.71,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
257,Klaksvik,FO,50.92,broken clouds,62.2266,-6.5889999999999995,Airbnb rooms
258,Stephenville Crossing,CA,51.93,fog,48.5,-58.4318,Henrieta's Hospitality Home
259,Samana,DO,76.66,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
260,Uray,RU,65.68,broken clouds,60.1247,64.7758,Hotel Pioner
261,Katsuura,JP,75.31,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
262,Manokwari,ID,81.1,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
263,Margherita,IN,72.88,overcast clouds,27.2833,95.6833,Dehing Guest House
