City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Boa Vista,BR,2.8197,-60.6733,78.78,83,20,4.61,few clouds
1,Hermanus,ZA,-34.4187,19.2345,52.9,75,0,11.18,clear sky
2,Vao,NC,-22.6667,167.4833,73.45,71,95,3.22,overcast clouds
3,Kirakira,SB,-10.4544,161.9205,83.05,72,100,5.97,overcast clouds
4,Oktyabrskoye,RU,43.0645,44.7417,57.34,94,60,2.37,broken clouds
5,Tasiilaq,GL,65.6145,-37.6368,35.76,96,100,4.47,light rain
6,Hobart,AU,-42.8794,147.3294,58.05,60,75,7.0,moderate rain
7,Wenling,CN,28.3669,121.36,80.91,91,100,1.95,light rain
8,Ribeira Grande,PT,38.5167,-28.7,63.72,87,100,8.14,overcast clouds
9,Deming,US,32.2687,-107.7586,80.49,14,1,5.75,clear sky
10,Chuy,UY,-33.6971,-53.4616,62.91,96,98,6.2,light rain
11,Ushuaia,AR,-54.8,-68.3,29.86,93,40,4.61,scattered clouds
12,Yellowknife,CA,62.456,-114.3525,55.92,76,75,4.61,broken clouds
13,Cabo San Lucas,MX,22.8909,-109.9124,88.41,54,12,12.01,few clouds
14,Rikitea,PF,-23.1203,-134.9692,74.73,75,27,12.06,scattered clouds
15,Hambantota,LK,6.1241,81.1185,80.94,94,75,16.02,broken clouds
16,Ugoofaaru,MV,5.6667,73.0,83.08,78,100,15.9,overcast clouds
17,Te Anau,NZ,-45.4167,167.7167,52.54,91,97,1.12,overcast clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,72.55,87,2,16.58,clear sky
19,Omsukchan,RU,62.5333,155.8,48.63,56,26,14.18,scattered clouds
20,Grand-Lahou,CI,5.1367,-5.0242,78.87,88,100,7.31,overcast clouds
21,Znamenka,RU,52.4167,41.4311,55.54,93,100,13.69,light rain
22,San Cristobal,VE,7.7669,-72.225,66.76,97,100,2.44,overcast clouds
23,Bluff,NZ,-46.6,168.3333,49.8,91,100,20.89,light rain
24,Atuona,PF,-9.8,-139.0333,79.41,80,35,19.42,scattered clouds
25,Oktyabrskiy,RU,54.4815,53.471,58.51,53,74,9.57,light rain
26,Manyana,BW,-23.4,21.7167,44.11,64,0,7.87,clear sky
27,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,75,18.32,light rain
