City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Buraydah,SA,2021-05-27 02:23:31,26.326,43.975,77.45,15,1,7.05
1,Zhangjiakou,CN,2021-05-27 02:27:31,40.81,114.8794,66.49,28,99,11.16
2,Rikitea,PF,2021-05-27 02:24:02,-23.1203,-134.9692,74.7,70,91,17.31
3,San Quintin,MX,2021-05-27 02:28:08,30.4833,-115.95,61.93,81,100,12.46
4,Hilo,US,2021-05-27 02:28:09,19.7297,-155.09,81.28,78,90,13.8
5,Nabire,ID,2021-05-27 02:28:09,-3.3667,135.4833,85.82,68,46,3.06
6,Hovd,MN,2021-05-27 02:28:09,48.0056,91.6419,66.58,33,0,3.94
7,Cape Town,ZA,2021-05-27 02:24:42,-33.9258,18.4232,56.12,89,0,5.39
8,Vaini,TO,2021-05-27 02:28:10,-21.2,-175.2,78.96,73,20,11.5
9,Nanortalik,GL,2021-05-27 02:28:10,60.1432,-45.2371,36.88,92,99,9.22
10,Seoul,KR,2021-05-27 02:27:05,37.5683,126.9778,62.11,88,90,9.82
11,Butaritari,KI,2021-05-27 02:28:11,3.0707,172.7902,83.66,79,85,19.24
12,Nantucket,US,2021-05-27 02:27:46,41.2835,-70.0995,66.07,95,90,14.97
13,Hobart,AU,2021-05-27 02:28:11,-42.8794,147.3294,52.05,57,40,4.0
14,Tuktoyaktuk,CA,2021-05-27 02:28:11,69.4541,-133.0374,28.4,86,90,9.22
15,Chuy,UY,2021-05-27 02:28:12,-33.6971,-53.4616,53.6,82,16,10.6
16,Fortuna,US,2021-05-27 02:28:12,40.5982,-124.1573,67.19,71,1,4.0
17,Mastic Beach,US,2021-05-27 02:28:12,40.7668,-72.8521,71.49,89,75,1.01
18,Baherden,TM,2021-05-27 02:28:13,38.4362,57.4316,75.43,56,100,6.62
19,Broome,US,2021-05-27 02:28:13,42.2506,-75.833,68.38,96,90,1.99
20,Faya,SA,2021-05-27 02:28:14,18.3851,42.4509,64.92,37,1,2.04
21,Labuhan,ID,2021-05-27 02:28:14,-6.8844,112.2051,86.11,65,49,15.35
22,Nikolskoye,RU,2021-05-27 02:28:15,59.7035,30.7861,46.29,98,91,4.7
23,Ornskoldsvik,SE,2021-05-27 02:28:15,63.2909,18.7153,46.22,65,50,14.16
24,Tibacuy,CO,2021-05-27 02:28:15,4.3511,-72.4564,74.12,96,89,5.39
25,Bereda,ES,2021-05-27 02:28:13,43.2686,-7.5406,49.57,100,37,2.13
26,Kristiinankaupunki,FI,2021-05-27 02:28:16,62.2743,21.376,40.14,97,100,17.94
27,Arraial Do Cabo,BR,2021-05-27 02:28:16,-22.9661,-42.0278,72.01,82,100,10.76
28,Lebu,CL,2021-05-27 02:28:16,-37.6167,-73.65,57.31,95,100,6.51
